CD_MUN,NM_MUN,Quantidade de moradores,Sexo masculino,Sexo feminino,"Sexo masculino, 0 a 4 anos","Sexo masculino, 5 a 9 anos","Sexo masculino, 10 a 14 anos","Sexo masculino, 15 a 19 anos","Sexo masculino, 20 a 24 anos","Sexo masculino, 25 a 29 anos","Sexo masculino, 30 a 39 anos","Sexo masculino, 40 a 49 anos","Sexo masculino, 50 a 59 anos","Sexo masculino, 60 a 69 anos","Sexo masculino, 70 anos ou mais","Sexo feminino, 0 a 4 anos","Sexo feminino, 5 a 9 anos","Sexo feminino, 10 a 14 anos","Sexo feminino, 15 a 19 anos","Sexo feminino, 20 a 24 anos","Sexo feminino, 25 a 29 anos","Sexo feminino, 30 a 39 anos","Sexo feminino, 40 a 49 anos","Sexo feminino, 50 a 59 anos","Sexo feminino, 60 a 69 anos","Sexo feminino, 70 anos ou mais",0 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 a 69 anos,70 anos ou mais
2100055,Açailândia,106298,52372,53926,4125,4394,4374,5013,4485,3944,8295,7127,4966,3046,2337,4009,4156,4397,4841,4349,4259,9008,7600,5250,3278,2506,8175,8594,8796,9873,8879,8252,17319,14744,10252,6382,4933
2100105,Afonso Cunha,6144,3131,3013,296,333,347,323,241,227,443,343,254,186,138,270,303,284,345,250,249,401,352,231,182,146,566,636,631,668,491,476,844,695,485,368,284
2100154,Água Doce do Maranhão,12142,6210,5932,487,461,555,598,463,441,896,842,636,382,426,435,459,486,562,473,448,920,770,593,378,374,933,928,1041,1163,948,892,1816,1612,1231,771,803
2100204,Alcântara,18431,9380,9051,568,610,775,857,651,541,1251,1222,983,709,620,524,598,724,716,543,485,1377,1178,983,723,563,1175,1274,1561,1643,1286,1122,2685,2494,2040,1530,1264
2100303,Aldeias Altas,23286,11665,11621,1093,1122,1313,1294,918,762,1572,1325,904,766,557,1061,1022,1234,1202,976,796,1719,1276,1017,712,570,2161,2154,2557,2500,1902,1561,3295,2602,1925,1481,1137
2100402,Altamira do Maranhão,6447,3264,3183,249,243,258,308,274,231,489,413,333,241,196,251,228,245,276,254,203,440,445,369,230,220,506,483,506,586,529,437,933,860,704,475,416
2100436,Alto Alegre do Maranhão,24048,11850,12198,1011,1035,1186,1234,1021,849,1703,1395,987,773,613,945,956,1092,1185,1037,891,1968,1502,1138,769,645,1960,2007,2288,2424,2064,1750,3674,2904,2132,1549,1272
2100477,Alto Alegre do Pindaré,25710,12972,12738,1094,1180,1388,1424,1019,862,1772,1521,1106,791,772,1107,1144,1239,1276,973,860,1820,1622,1086,839,719,2214,2332,2638,2705,2000,1728,3595,3145,2195,1634,1514
2100501,Alto Parnaíba,11106,5747,5359,436,461,513,510,484,464,921,651,508,410,287,426,445,477,539,430,398,787,577,460,387,291,882,927,1012,1075,936,869,1718,1242,988,816,605
2100550,Amapá do Maranhão,7170,3655,3515,321,343,371,397,341,277,537,419,261,205,174,322,326,370,348,334,269,534,405,270,184,146,645,669,741,745,675,548,1071,826,531,391,324
2100600,Amarante do Maranhão,36723,18913,17810,1883,1822,2018,1892,1569,1203,2456,2087,1450,963,898,1751,1768,1791,1832,1451,1127,2437,1955,1393,894,735,3721,3656,3890,3825,3121,2422,4992,4134,2902,1903,1721
2100709,Anajatuba,25322,12877,12445,863,980,1067,1049,1032,903,2017,1756,1223,898,858,843,971,1000,929,936,918,2031,1678,1163,868,863,1736,1978,2108,2016,1999,1852,4071,3453,2423,1800,1753
2100808,Anapurus,13766,6872,6894,575,576,621,751,609,496,1049,832,596,409,330,516,529,618,684,607,536,1110,874,598,430,372,1097,1107,1241,1439,1218,1040,2161,1706,1194,841,708
2100832,Apicum-Açu,17519,9065,8454,701,743,801,868,824,771,1471,1122,788,544,400,682,746,738,762,720,709,1406,1005,772,495,376,1389,1495,1545,1634,1548,1487,2879,2130,1567,1047,784
2100873,Araguanã,11171,5620,5551,446,479,533,542,472,386,806,695,527,359,347,440,474,522,542,477,384,824,661,505,355,321,894,958,1056,1087,952,778,1633,1365,1037,719,671
2100907,Araioses,39052,19996,19056,1454,1573,1700,1870,1521,1325,3031,2710,1948,1392,1339,1342,1408,1655,1682,1500,1334,3024,2441,1849,1331,1375,2809,2996,3373,3571,3049,2690,6070,5159,3805,2750,2738
2100956,Arame,25434,13106,12328,1142,1242,1435,1451,1105,871,1744,1501,975,641,573,1180,1142,1253,1307,1063,801,1701,1372,941,641,517,2375,2434,2732,2811,2232,1741,3491,2913,1955,1312,1156
2101004,Arari,29457,14593,14864,1060,1082,1206,1335,1219,1114,2196,1962,1350,1065,907,1050,1123,1139,1260,1164,1069,2364,2064,1530,1049,938,2125,2228,2358,2607,2389,2192,4572,4036,2893,2128,1861
2101103,Axixá,11769,5859,5910,408,510,492,634,490,441,867,755,511,352,341,379,476,497,561,476,451,918,771,527,374,421,795,996,998,1200,980,898,1786,1529,1050,738,769
2101202,Bacabal,103703,49714,53989,3834,4114,4360,4706,4291,3617,7650,6705,4559,3087,2591,3766,3837,4204,4761,4561,3989,8475,7349,5491,3917,3464,7634,7973,8576,9484,8879,7634,16134,14069,10078,7039,6096
2101251,Bacabeira,16952,8413,8539,705,730,773,791,672,639,1371,1103,711,520,348,634,697,767,767,711,686,1495,1115,746,482,381,1346,1435,1544,1567,1389,1335,2870,2223,1462,1008,748
2101301,Bacuri,16236,8257,7979,671,672,704,725,678,622,1249,1027,717,604,472,601,607,661,665,605,577,1211,1006,781,596,546,1296,1293,1379,1410,1292,1226,2464,2054,1512,1212,1032
2101350,Bacurituba,5252,2708,2544,168,198,209,246,185,157,388,380,256,249,231,172,175,195,241,154,164,404,330,244,205,208,346,386,404,489,348,327,794,716,503,464,444
2101400,Balsas,101607,50120,51487,4160,4300,4446,4771,4858,4427,8525,6395,4086,2413,1610,4245,4293,4404,4775,4929,4754,8759,6516,4040,2535,2059,8427,8609,8865,9566,9808,9203,17297,12930,8146,4967,3714
2101509,Barão de Grajaú,18984,9442,9542,714,685,744,804,804,713,1532,1300,962,631,547,650,666,696,725,748,779,1581,1281,966,715,726,1369,1351,1444,1530,1554,1493,3113,2581,1928,1348,1273
2101608,Barra do Corda,84272,41686,42586,3409,3579,3766,3952,3257,3038,5930,5082,3775,2706,2516,3372,3471,3586,3883,3362,3115,6253,5338,4049,2774,2656,6862,7129,7433,7931,6737,6272,12280,10515,7882,5523,5238
2101707,Barreirinhas,65585,33365,32220,2750,3046,3553,3702,3016,2570,5013,3994,2519,1743,1319,2645,2836,3218,3474,2770,2624,5254,3887,2464,1552,1349,5421,5906,6789,7186,5805,5216,10272,7897,5003,3333,2711
2101731,Belágua,8460,4482,3978,468,470,554,501,436,359,599,444,298,203,126,397,425,474,440,398,342,567,366,264,149,131,871,899,1031,941,835,701,1168,812,562,357,261
2101772,Bela Vista do Maranhão,11750,5853,5897,525,553,553,587,509,415,858,681,472,358,322,487,443,528,573,525,430,891,769,476,394,353,1017,997,1082,1163,1037,848,1749,1455,951,754,685
2101806,Benedito Leite,5469,2810,2659,193,202,199,247,200,210,404,339,351,246,179,188,219,188,216,178,186,378,304,337,222,198,389,423,393,471,383,407,787,643,690,476,382
2101905,Bequimão,19566,9885,9681,524,644,803,830,652,588,1455,1390,1086,830,816,583,604,716,763,638,608,1520,1315,1063,794,788,1156,1284,1555,1636,1347,1226,3001,2735,2173,1659,1641
2101939,Bernardo do Mearim,5829,2914,2915,209,220,222,262,219,177,420,423,316,236,205,278,199,205,231,233,192,408,394,328,209,224,495,423,428,493,456,371,828,817,644,445,429
2101970,Boa Vista do Gurupi,7574,3844,3730,368,410,393,430,341,274,509,384,316,228,167,310,365,394,420,303,267,545,418,317,206,161,681,778,791,853,650,544,1058,804,636,435,334
2102002,Bom Jardim,33040,16649,16391,1419,1555,1749,1668,1380,1107,2301,1980,1420,1030,937,1412,1506,1537,1567,1341,1117,2332,2007,1442,1050,953,2847,3076,3299,3250,2735,2253,4644,3997,2876,2099,1923
2102036,Bom Jesus das Selvas,28599,14743,13856,1416,1435,1509,1569,1229,946,2097,1812,1145,862,666,1320,1337,1494,1444,1141,984,2169,1578,1061,738,512,2743,2781,3011,3018,2381,1949,4275,3393,2216,1609,1199
2102077,Bom Lugar,12208,6207,6001,459,452,541,596,530,423,922,866,603,411,394,457,426,462,591,527,422,882,812,600,439,381,918,882,1003,1187,1057,847,1804,1678,1203,852,777
2102101,Brejo,34096,17124,16972,1324,1361,1676,1877,1483,1096,2547,2151,1433,1092,967,1296,1322,1555,1722,1388,1140,2573,2055,1490,1127,1174,2640,2698,3255,3612,2889,2267,5137,4224,2934,2229,2156
2102150,Brejo de Areia,9218,4772,4446,380,393,438,506,470,357,689,577,453,288,202,402,388,427,466,380,328,663,523,403,247,188,785,786,865,974,855,689,1358,1102,858,542,401
2102200,Buriti,29685,15156,14529,1456,1424,1581,1617,1421,1100,2077,1661,1096,881,779,1329,1389,1446,1519,1324,1031,2034,1541,1167,854,815,2788,2819,3035,3146,2756,2137,4115,3211,2282,1744,1605
2102309,Buriti Bravo,22445,11197,11248,859,994,1077,1124,882,709,1507,1372,1037,828,721,853,938,1030,1040,840,730,1531,1376,1090,858,856,1726,1945,2118,2176,1736,1457,3048,2754,2137,1698,1600
2102325,Buriticupu,55477,27739,27738,2501,2639,2902,3078,2418,1883,3768,3330,2157,1635,1383,2358,2474,2804,2902,2390,2070,4214,3372,2340,1580,1175,4866,5114,5708,5990,4819,3965,7985,6710,4501,3230,2577
2102358,Buritirana,12918,6550,6368,536,577,617,639,466,405,868,860,623,477,470,485,508,586,600,438,381,949,842,602,495,447,1026,1090,1207,1244,906,791,1818,1703,1225,974,922
2102374,Cachoeira Grande,9716,5053,4663,456,478,544,561,402,349,700,575,420,270,231,383,410,486,533,389,348,715,509,368,234,219,845,897,1042,1101,804,710,1425,1086,798,514,462
2102408,Cajapió,10104,5100,5004,306,387,455,504,420,316,795,673,471,340,295,332,354,468,515,394,325,800,619,454,305,308,659,750,942,1033,831,661,1614,1308,947,665,619
2102507,Cajari,16405,8329,8076,647,825,808,803,615,554,1183,1032,676,520,452,675,738,726,746,591,549,1173,940,685,563,417,1357,1592,1563,1568,1237,1141,2388,2011,1398,1118,911
2102556,Campestre do Maranhão,12284,6206,6078,503,523,524,618,472,446,915,839,599,379,342,511,470,526,524,469,478,988,796,592,364,321,1016,1001,1066,1151,942,927,1906,1639,1196,748,681
2102606,Cândido Mendes,19919,10242,9677,836,905,961,934,824,750,1556,1319,943,632,504,897,831,955,906,740,709,1573,1101,864,534,484,1741,1750,1922,1853,1575,1468,3138,2426,1820,1181,1001
2102705,Cantanhede,24289,12147,12142,964,1036,1033,1249,1216,993,1684,1463,1110,778,557,929,988,1026,1293,1312,952,1761,1458,1108,723,521,1904,2036,2065,2546,2534,1958,3448,2926,2221,1517,1105
2102754,Capinzal do Norte,11374,5614,5760,419,444,487,487,433,402,875,739,493,422,325,396,457,542,477,448,390,867,742,535,422,403,823,912,1035,973,887,803,1747,1491,1048,857,738
2102804,Carolina,24062,12246,11816,906,955,1128,1119,974,823,1764,1478,1301,933,842,805,900,1001,961,888,780,1758,1505,1282,932,959,1719,1862,2134,2084,1868,1620,3525,2983,2585,1869,1806
2102903,Carutapera,24238,12356,11882,1062,1113,1222,1189,998,893,1925,1557,1084,701,570,1021,993,1047,1111,1106,911,1962,1473,990,680,541,2089,2110,2273,2307,2109,1813,3887,3032,2079,1393,1124
2103000,Caxias,156810,75251,81559,5668,6036,6843,7271,6342,5349,11201,9751,7046,5067,4405,5542,5829,6580,7144,6509,5791,12448,10833,8521,6318,5778,11256,11916,13457,14455,12891,11193,23664,20612,15602,11445,10210
2103109,Cedral,10198,5222,4976,314,325,438,452,431,336,759,768,587,410,357,304,305,406,412,370,354,783,704,539,374,367,627,637,851,869,810,698,1548,1474,1129,795,737
2103125,Central do Maranhão,7080,3665,3415,338,320,358,367,262,224,497,418,360,236,216,256,260,278,343,252,245,527,414,298,233,208,607,592,649,720,528,487,1029,837,669,482,450
2103158,Centro do Guilherme,12286,6300,5986,655,697,641,669,601,472,881,657,452,288,261,620,614,653,695,492,492,894,606,415,253,215,1275,1317,1298,1367,1098,969,1777,1271,871,543,484
2103174,Centro Novo do Maranhão,16246,8473,7773,882,897,849,848,792,698,1095,924,624,439,320,806,755,732,841,751,626,1111,825,557,377,279,1697,1658,1588,1702,1562,1337,2224,1764,1190,820,608
2103208,Chapadinha,81279,39868,41411,3370,3372,4018,4218,3380,2914,6093,4609,3227,2356,2178,3104,3310,3988,4071,3559,3053,6563,4888,3587,2687,2448,6502,6694,8022,8306,6962,5990,12667,9516,6830,5081,4659
2103257,Cidelândia,12872,6554,6318,508,490,613,660,522,446,890,886,595,490,425,545,464,561,599,463,411,954,832,606,493,362,1055,958,1176,1261,990,868,1846,1720,1206,984,794
2103307,Codó,113996,55065,58931,4392,4705,5367,5351,4510,3779,7997,6507,4960,3824,3328,4237,4613,5213,5324,4541,4198,8707,7215,5980,4456,4120,8682,9356,10627,10709,9091,8031,16740,13760,10990,8342,7495
2103406,Coelho Neto,41658,20538,21120,1642,1725,2031,2134,1578,1423,2950,2386,1948,1447,1229,1454,1635,1920,2083,1488,1492,3140,2615,2156,1681,1390,3101,3362,3955,4222,3079,2926,6100,5009,4106,3143,2624
2103505,Colinas,40293,19663,20630,1602,1652,1809,1862,1715,1605,2939,2415,1723,1284,1016,1557,1728,1800,1900,1785,1634,3058,2546,1947,1426,1207,3162,3392,3616,3765,3507,3249,5999,4967,3674,2718,2232
2103554,Conceição do Lago-Açu,14915,7692,7223,666,757,751,863,686,538,1092,999,569,425,334,661,667,714,769,624,526,1066,914,544,438,277,1327,1424,1468,1634,1312,1064,2159,1915,1115,869,615
2103604,Coroatá,59437,29239,30198,2345,2534,2762,2908,2378,1896,4194,3640,2683,2102,1738,2226,2345,2559,2712,2419,2088,4544,3826,3101,2322,1987,4575,4888,5324,5629,4802,4001,8738,7470,5793,4440,3754
2103703,Cururupu,31472,15875,15597,1185,1203,1289,1384,1272,956,2342,2092,1670,1299,1068,1150,1072,1194,1329,1148,1003,2306,2001,1742,1320,1206,2356,2295,2503,2728,2449,1980,4657,4105,3424,2634,2292
2103752,Davinópolis,14297,7188,7109,597,625,632,619,592,559,1164,941,596,422,395,541,611,536,625,652,551,1156,901,628,490,379,1147,1241,1171,1256,1252,1114,2320,1844,1230,914,781
2103802,Dom Pedro,23053,11204,11849,794,913,1004,993,927,859,1663,1508,1107,778,658,833,890,951,986,889,854,1816,1622,1235,892,878,1627,1803,1955,1980,1817,1713,3479,3130,2342,1670,1536
2103901,Duque Bacelar,10223,5150,5073,421,442,493,578,477,368,736,572,485,294,276,410,445,464,551,432,383,742,561,461,317,301,832,891,957,1130,909,751,1479,1133,946,613,579
2104008,Esperantinópolis,18311,9063,9248,703,715,736,842,707,645,1378,1163,895,642,619,677,684,735,810,719,648,1363,1220,949,728,694,1382,1399,1474,1654,1433,1293,2741,2386,1845,1376,1321
2104057,Estreito,33294,16707,16587,1340,1376,1576,1485,1381,1220,2650,2243,1511,955,929,1254,1331,1486,1425,1383,1323,2823,2168,1499,980,835,2601,2713,3071,2920,2777,2552,5479,4419,3018,1947,1776
2104073,Feira Nova do Maranhão,8048,4200,3848,316,316,374,422,354,295,564,556,419,297,275,321,307,324,383,328,291,501,509,363,269,245,640,623,700,809,682,586,1065,1068,782,569,520
2104081,Fernando Falcão,10811,5623,5188,593,569,571,591,540,437,778,611,395,256,194,622,548,554,487,478,386,706,538,344,239,185,1222,1122,1137,1096,1030,837,1503,1164,744,506,395
2104099,Formosa da Serra Negra,17719,9287,8432,658,757,861,904,843,733,1334,1187,919,598,487,653,706,779,835,761,699,1286,1042,713,483,461,1311,1463,1640,1739,1606,1434,2620,2229,1633,1087,957
2104107,Fortaleza dos Nogueiras,12640,6399,6241,475,541,535,565,562,520,1026,822,582,435,333,474,507,543,589,564,501,1024,732,577,375,341,950,1049,1082,1156,1126,1021,2052,1554,1161,810,679
2104206,Fortuna,16976,8618,8358,725,820,848,853,655,574,1118,1029,785,607,576,658,708,785,725,591,567,1154,996,859,629,617,1388,1538,1636,1591,1258,1155,2272,2030,1646,1251,1209
2104305,Godofredo Viana,10166,5256,4910,449,456,443,437,428,432,915,669,486,296,217,456,449,473,401,362,435,878,604,390,241,184,908,905,920,843,796,871,1800,1273,879,543,409
2104404,Gonçalves Dias,17206,8556,8650,637,755,776,797,652,589,1138,1153,819,654,578,671,643,772,772,688,585,1178,1088,918,669,650,1316,1401,1548,1571,1340,1177,2316,2241,1737,1326,1230
2104503,Governador Archer,10231,5093,5138,381,428,418,429,487,378,796,645,440,346,328,363,389,447,456,433,404,739,612,495,389,399,746,820,870,887,921,783,1537,1257,935,739,732
2104552,Governador Edison Lobão,18411,9324,9087,794,800,789,881,819,668,1422,1197,864,582,490,690,762,855,767,741,681,1463,1201,850,577,475,1486,1565,1650,1652,1566,1359,2889,2398,1718,1159,969
2104602,Governador Eugênio Barros,13930,6984,6946,583,561,621,665,578,489,945,920,610,526,469,561,540,611,615,558,452,937,881,678,571,524,1146,1102,1234,1282,1137,945,1882,1804,1291,1103,997
2104628,Governador Luiz Rocha,7057,3613,3444,264,293,307,382,295,229,496,482,352,253,236,270,291,282,290,272,220,498,468,357,268,203,537,588,594,676,570,453,999,950,715,526,442
2104651,Governador Newton Bello,10713,5556,5157,402,421,634,549,673,406,829,678,411,294,235,384,391,464,571,551,413,833,631,401,270,220,789,816,1100,1122,1225,823,1662,1309,815,573,479
2104677,Governador Nunes Freire,22920,11444,11476,1017,1058,1181,1206,1052,799,1721,1298,887,672,548,978,1032,1057,1176,1008,816,1833,1364,981,722,494,1995,2091,2239,2384,2062,1622,3554,2662,1868,1394,1049
2104701,Graça Aranha,6023,3014,3009,234,247,263,278,208,196,428,392,322,203,234,221,214,249,236,219,175,434,394,328,238,295,457,461,516,514,429,373,862,788,650,442,530
2104800,Grajaú,73431,36986,36445,3480,3543,3555,3693,3098,2875,5556,4335,2816,1912,1641,3234,3432,3569,3413,3181,2831,5701,4082,2968,1853,1703,6772,7053,7201,7181,6346,5758,11327,8469,5824,3791,3395
2104909,Guimarães,10290,5133,5157,290,358,392,437,290,283,764,738,535,454,419,342,314,362,331,310,301,787,711,624,440,462,641,706,774,783,624,614,1564,1466,1180,918,909
2105005,Humberto de Campos,25678,13326,12352,1184,1180,1319,1549,1203,1021,1780,1549,1100,739,667,1054,1152,1320,1477,1004,887,1767,1393,959,679,611,2249,2342,2641,3026,2212,1919,3553,2944,2063,1426,1292
2105104,Icatu,24786,12660,12124,945,1030,1146,1336,1108,994,1823,1561,1093,739,668,953,993,1182,1217,1061,908,1730,1426,1000,709,680,1930,2062,2363,2592,2204,1936,3573,3015,2120,1491,1389
2105153,Igarapé do Meio,13974,6949,7025,600,658,776,742,555,502,1024,788,531,425,325,602,617,710,685,567,549,1087,834,579,445,336,1205,1277,1487,1427,1124,1053,2111,1626,1113,872,667
2105203,Igarapé Grande,10226,5069,5157,354,363,404,471,416,306,751,718,546,374,354,375,367,377,447,367,344,786,701,540,421,420,732,734,784,921,788,654,1537,1419,1086,795,774
2105302,Imperatriz,272605,130938,141667,9842,10376,10262,10971,11938,11045,21824,18426,12428,7754,5966,9625,10200,9729,11119,13006,11798,23814,20415,14599,9573,7659,19500,20608,20010,22102,24964,22866,45639,38843,27036,17341,13657
2105351,Itaipava do Grajaú,13794,7110,6684,668,718,711,742,580,487,963,783,562,392,337,683,664,671,632,528,491,962,709,557,324,286,1376,1402,1399,1400,1136,997,1949,1513,1139,729,648
2105401,Itapecuru Mirim,60246,29426,30820,2449,2593,2822,2855,2368,2042,4685,3534,2416,1785,1382,2410,2585,2761,2749,2447,2271,5120,3663,2726,1885,1677,4923,5258,5636,5656,4885,4379,9885,7260,5209,3749,3136
2105427,Itinga do Maranhão,22502,11221,11281,882,887,966,960,880,804,1748,1521,1120,759,617,833,838,919,972,930,854,1771,1578,1155,738,584,1733,1739,1899,1946,1828,1672,3521,3103,2290,1515,1219
2105450,Jatobá,7471,3777,3694,315,319,314,383,336,289,525,505,327,247,204,285,313,329,350,315,268,533,496,337,250,206,600,633,643,735,655,564,1060,1001,664,501,415
2105476,Jenipapo dos Vieiras,16743,8600,8143,971,904,906,848,655,546,1106,877,546,276,279,945,941,816,781,657,505,966,791,454,262,307,1994,1917,1802,1711,1433,1156,2202,1778,1086,569,648
2105500,João Lisboa,24701,12207,12494,926,1041,1070,1164,1075,911,1844,1572,1029,736,724,895,992,1013,1145,1024,931,1943,1653,1172,822,775,1832,2050,2098,2333,2119,1859,3794,3240,2219,1573,1513
2105609,Joselândia,14917,7568,7349,648,641,716,693,571,449,1141,999,669,513,462,620,596,672,636,522,551,1072,911,678,517,499,1272,1246,1396,1338,1111,1019,2213,1914,1359,1046,990
2105658,Junco do Maranhão,5146,2573,2573,223,234,262,235,216,195,328,326,237,174,138,222,241,263,218,196,199,380,324,206,168,146,445,477,525,455,412,396,708,650,447,345,284
2105708,Lago da Pedra,44365,21943,22422,1795,1890,1919,2113,1914,1680,3187,2750,1965,1428,1262,1702,1736,1917,2036,1928,1688,3359,2793,2220,1586,1413,3499,3636,3842,4157,3849,3374,6546,5550,4191,3021,2682
2105807,Lago do Junco,9506,4767,4739,371,328,416,499,373,307,669,643,463,394,258,318,371,400,428,362,340,674,631,530,345,296,700,708,824,932,741,658,1346,1275,999,747,569
2105906,Lago Verde,14769,7322,7447,614,670,716,786,591,467,1037,933,627,493,384,628,648,670,776,640,493,1085,936,648,496,417,1242,1318,1386,1562,1231,963,2122,1869,1275,990,811
2105922,Lagoa do Mato,10572,5316,5256,412,396,419,491,428,401,776,709,556,387,307,374,475,450,484,400,367,831,639,495,373,348,792,876,871,983,834,771,1607,1348,1053,772,656
2105948,Lago dos Rodrigues,8758,4376,4382,305,354,335,380,337,288,637,608,449,340,298,297,295,342,361,317,319,636,588,478,377,323,610,651,683,748,661,615,1278,1201,937,727,631
2105963,Lagoa Grande do Maranhão,11411,5902,5509,542,585,585,579,502,415,848,704,472,352,288,495,496,534,536,465,413,845,653,503,297,230,1048,1084,1125,1116,970,835,1695,1364,976,658,529
2105989,Lajeado Novo,7057,3671,3386,289,273,338,328,259,216,520,516,369,273,258,277,261,278,309,244,232,522,452,354,221,209,566,538,619,642,506,458,1048,972,727,499,468
2106003,Lima Campos,11271,5499,5772,378,437,459,485,425,317,876,689,543,429,378,414,395,461,498,402,374,902,691,626,502,433,805,837,930,993,839,715,1778,1392,1171,942,829
2106102,Loreto,11597,5948,5649,400,552,450,553,552,461,896,719,573,414,367,355,493,506,501,521,425,829,663,549,415,374,763,1045,962,1058,1073,888,1725,1382,1122,833,741
