CD_MUN,NM_MUN,Quantidade de moradores,Sexo masculino,Sexo feminino,"Sexo masculino, 0 a 4 anos","Sexo masculino, 5 a 9 anos","Sexo masculino, 10 a 14 anos","Sexo masculino, 15 a 19 anos","Sexo masculino, 20 a 24 anos","Sexo masculino, 25 a 29 anos","Sexo masculino, 30 a 39 anos","Sexo masculino, 40 a 49 anos","Sexo masculino, 50 a 59 anos","Sexo masculino, 60 a 69 anos","Sexo masculino, 70 anos ou mais","Sexo feminino, 0 a 4 anos","Sexo feminino, 5 a 9 anos","Sexo feminino, 10 a 14 anos","Sexo feminino, 15 a 19 anos","Sexo feminino, 20 a 24 anos","Sexo feminino, 25 a 29 anos","Sexo feminino, 30 a 39 anos","Sexo feminino, 40 a 49 anos","Sexo feminino, 50 a 59 anos","Sexo feminino, 60 a 69 anos","Sexo feminino, 70 anos ou mais",0 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 a 69 anos,70 anos ou mais
2106201,Luís Domingues,7158,3671,3487,318,281,309,322,304,283,596,503,334,236,173,282,306,297,309,274,270,595,464,288,201,183,600,592,609,636,578,555,1191,967,627,437,359
2106300,Magalhães de Almeida,13807,6994,6813,542,569,624,675,497,479,990,979,694,478,450,421,517,578,623,518,540,1044,898,685,488,483,965,1088,1202,1298,1025,1021,2035,1878,1379,968,939
2106326,Maracaçumé,21145,10367,10778,1040,1035,1111,1027,876,725,1540,1199,787,518,499,1076,1067,1053,1067,934,784,1684,1236,842,560,463,2118,2105,2164,2094,1812,1509,3226,2435,1629,1079,964
2106359,Marajá do Sena,7018,3860,3158,339,370,416,474,338,269,510,497,304,185,128,296,296,338,293,274,245,482,425,247,130,74,636,671,756,775,623,522,996,925,558,327,220
2106375,Maranhãozinho,13761,6956,6805,668,741,767,730,622,477,1032,760,509,333,310,665,684,724,700,596,523,1041,725,514,351,272,1333,1425,1491,1430,1218,1002,2073,1485,1026,684,587
2106409,Mata Roma,17090,8607,8483,742,713,850,919,738,603,1267,1013,624,538,434,680,719,821,843,677,615,1344,939,669,507,456,1440,1461,1691,1779,1434,1249,2641,1984,1324,1071,917
2106508,Matinha,22017,10976,11041,815,886,1033,1001,814,755,1607,1457,1037,768,610,782,939,968,942,755,755,1685,1467,1101,779,675,1627,1855,2028,1971,1589,1539,3303,2939,2171,1588,1323
2106607,Matões,32111,16142,15969,1356,1415,1598,1729,1308,995,2158,1924,1399,1110,979,1334,1331,1508,1584,1265,1051,2236,1829,1456,1140,1015,2722,2768,3140,3335,2611,2088,4412,3766,2882,2277,2043
2106631,Matões do Norte,17432,8836,8596,512,913,752,911,982,812,1247,1131,794,478,276,465,902,750,860,990,851,1303,1064,723,410,242,987,1819,1502,1778,1975,1667,2550,2199,1517,896,528
2106672,Milagres do Maranhão,8795,4541,4254,365,362,484,503,397,290,646,586,345,288,265,335,360,428,434,378,298,609,523,354,277,244,701,724,915,937,775,594,1257,1109,699,567,512
2106706,Mirador,21025,10749,10276,833,881,963,1043,890,814,1562,1397,950,717,636,788,840,938,925,876,777,1451,1256,973,727,648,1631,1736,1903,1978,1777,1598,3016,2659,1938,1459,1298
2106755,Miranda do Norte,23864,11874,11990,743,967,1077,1155,1179,928,2073,1502,1059,657,525,660,870,1009,1181,1137,1013,2176,1536,1098,742,556,1405,1840,2086,2337,2316,1941,4249,3041,2157,1399,1087
2106805,Mirinzal,13956,7022,6932,521,561,568,648,543,454,973,936,746,478,444,526,509,550,588,546,489,1062,938,656,467,435,1069,1087,1142,1249,1112,963,2056,1889,1418,967,897
2106904,Monção,27720,13918,13802,1230,1356,1440,1512,1038,1018,1893,1599,1120,851,735,1243,1273,1347,1416,1095,961,2010,1551,1172,913,682,2489,2644,2805,2946,2161,2001,3922,3161,2301,1791,1450
2107001,Montes Altos,9089,4707,4382,357,438,406,431,364,305,603,610,508,316,327,344,366,369,354,368,296,610,591,455,315,272,714,806,779,790,737,606,1216,1204,971,641,605
2107100,Morros,18547,9503,9044,785,826,946,1066,871,691,1354,1214,726,557,460,739,820,927,915,754,659,1380,1148,709,504,471,1528,1646,1873,1983,1627,1350,2734,2362,1440,1063,939
2107209,Nina Rodrigues,14176,6831,7345,568,648,731,736,652,494,1012,725,646,348,250,524,598,699,722,806,583,1314,893,566,346,261,1094,1248,1435,1458,1460,1084,2330,1620,1217,700,523
2107258,Nova Colinas,5021,2633,2388,199,224,242,285,221,179,375,319,252,162,175,182,191,226,258,169,187,360,289,215,162,149,381,415,468,543,390,366,735,608,467,324,324
2107308,Nova Iorque,4309,2169,2140,136,142,201,175,198,144,313,292,207,171,186,147,157,178,189,146,146,287,243,229,198,213,287,299,380,366,344,290,600,535,436,369,399
2107357,Nova Olinda do Maranhão,14276,7071,7205,559,581,661,743,604,471,951,915,646,476,431,569,560,672,733,567,507,1111,860,650,494,434,1132,1149,1335,1482,1180,987,2066,1777,1298,975,867
2107407,Olho d'Água das Cunhãs,17912,8870,9042,610,615,719,776,782,616,1283,1290,946,660,530,571,661,661,753,711,643,1349,1308,981,731,630,1188,1284,1393,1535,1498,1272,2635,2598,1929,1399,1167
2107456,Olinda Nova do Maranhão,13564,6876,6688,511,585,643,717,548,479,1018,896,574,467,341,510,499,553,643,513,466,1133,774,617,461,409,1034,1098,1205,1373,1082,966,2158,1683,1208,946,776
2107506,Paço do Lumiar,145643,69377,76266,5382,5784,5529,5411,5556,5644,12704,10405,6555,3857,2295,5304,5510,5415,5677,6047,6330,14501,11832,7582,4788,3086,10716,11322,10966,11124,11619,12008,27222,22251,14150,8691,5467
2107605,Palmeirândia,21054,10472,10582,852,951,901,922,785,643,1760,1402,945,706,546,782,904,814,879,822,700,1819,1429,952,743,660,1640,1864,1725,1813,1618,1358,3579,2831,1902,1463,1222
2107704,Paraibano,18266,9000,9266,686,809,730,743,662,668,1337,1173,893,653,613,675,726,758,746,682,657,1332,1124,1029,754,745,1372,1543,1495,1496,1354,1329,2671,2301,1925,1408,1362
2107803,Parnarama,31235,15606,15629,1339,1392,1441,1509,1228,935,2161,1973,1446,1137,977,1313,1345,1388,1470,1187,985,2224,1937,1527,1160,1014,2662,2749,2838,2985,2430,1935,4387,3921,2979,2318,2017
2107902,Passagem Franca,17211,8509,8702,710,782,791,772,662,576,1230,1046,815,562,531,628,747,710,764,689,662,1212,1094,831,710,625,1341,1531,1509,1541,1359,1244,2444,2145,1650,1281,1159
2108009,Pastos Bons,18802,9441,9361,710,785,841,883,778,737,1460,1132,911,624,553,717,711,888,799,710,739,1378,1154,917,687,632,1429,1502,1735,1686,1494,1478,2841,2289,1832,1315,1190
2108058,Paulino Neves,17056,8746,8310,842,774,927,997,730,635,1242,958,711,479,434,746,722,851,878,726,679,1269,882,660,454,429,1592,1500,1782,1875,1460,1317,2512,1841,1373,935,869
2108108,Paulo Ramos,20341,10177,10164,869,858,935,1085,824,717,1442,1270,888,685,573,786,866,890,995,841,763,1510,1221,1001,692,566,1659,1728,1829,2083,1666,1490,2953,2496,1891,1384,1147
2108207,Pedreiras,36847,17497,19350,1131,1309,1486,1566,1387,1271,2558,2503,1840,1234,1150,1125,1251,1463,1582,1395,1322,2969,2763,2199,1625,1595,2264,2579,2957,3155,2785,2599,5529,5268,4047,2872,2748
2108256,Pedro do Rosário,24304,12144,12160,1078,1098,1287,1259,953,789,1758,1444,973,665,676,1096,1184,1278,1156,965,818,1915,1306,1030,673,607,2198,2317,2579,2434,1935,1626,3691,2760,2038,1354,1293
2108306,Penalva,32498,16118,16380,1560,1537,1498,1584,1259,1047,2236,1923,1266,976,875,1414,1538,1573,1462,1206,1202,2297,1919,1375,1045,983,3028,3121,3117,3094,2493,2299,4563,3886,2684,2064,1918
2108405,Peri Mirim,11108,5575,5533,301,397,452,488,364,360,850,760,644,446,381,351,373,404,458,377,360,862,757,629,417,428,681,795,871,967,759,729,1716,1526,1279,887,835
2108454,Peritoró,20474,10209,10265,849,886,1041,1080,836,655,1367,1320,905,646,562,727,858,949,986,846,692,1516,1224,1016,769,622,1589,1750,1993,2069,1690,1354,2894,2556,1933,1417,1199
2108504,Pindaré-Mirim,31416,15220,16196,1210,1358,1479,1561,1237,1083,2214,1980,1318,913,840,1180,1294,1488,1552,1279,1157,2558,2117,1432,1100,1013,2390,2657,2974,3117,2519,2240,4772,4097,2750,2021,1863
2108603,Pinheiro,84350,40510,43840,3132,3301,3540,3658,3200,2978,6269,5408,3837,2665,2219,3119,3196,3522,3575,3520,3357,7243,5899,4417,2999,2670,6291,6536,7092,7290,6765,6370,13535,11339,8290,5703,4946
2108702,Pio XII,21886,10830,11056,782,930,1052,1113,891,770,1590,1441,951,669,608,807,843,994,1062,905,742,1686,1493,1066,753,677,1593,1775,2046,2175,1804,1521,3283,2939,2020,1431,1288
2108801,Pirapemas,17714,8831,8883,629,653,811,933,750,708,1640,941,745,515,390,536,640,827,928,879,615,1538,1034,769,532,479,1185,1306,1650,1875,1644,1343,3191,1986,1525,1057,893
2108900,Poção de Pedras,17161,8604,8557,581,591,732,757,604,492,1196,1255,964,704,651,518,547,681,712,533,540,1252,1253,987,727,704,1121,1153,1423,1481,1157,1059,2455,2513,1956,1447,1367
2109007,Porto Franco,23878,11853,12025,957,963,1042,1014,955,882,1906,1557,1186,725,651,955,885,937,1008,965,961,2014,1630,1211,744,696,1917,1850,1979,2023,1923,1843,3922,3187,2400,1473,1351
2109056,Porto Rico do Maranhão,5918,3040,2878,200,185,279,290,196,160,418,430,317,279,254,176,218,222,218,170,182,455,377,330,273,226,379,406,502,517,367,345,878,811,654,555,482
2109106,Presidente Dutra,45155,22025,23130,1666,1800,1928,1793,1842,1747,3457,2974,2099,1491,1213,1741,1722,1773,1928,1881,1887,3686,3025,2389,1654,1417,3415,3527,3705,3724,3726,3640,7145,6001,4491,3149,2632
2109205,Presidente Juscelino,11338,5840,5498,547,524,600,678,477,413,824,645,430,298,217,532,480,487,571,466,391,804,613,428,295,233,1096,1023,1106,1268,965,836,1642,1286,897,637,494
2109239,Presidente Médici,4696,2350,2346,167,208,208,229,218,179,332,267,216,164,148,168,200,191,215,211,148,368,295,221,164,149,335,410,401,447,432,327,704,562,439,331,299
2109270,Presidente Sarney,17511,8709,8802,782,901,950,870,683,518,1219,1025,701,486,472,771,840,875,857,686,627,1272,1018,719,533,505,1574,1748,1843,1741,1383,1163,2508,2053,1434,1037,995
2109304,Presidente Vargas,10501,5211,5290,450,465,559,547,413,345,817,606,345,286,215,424,517,569,542,347,399,883,580,329,270,248,896,1001,1143,1109,782,763,1721,1209,702,583,489
2109403,Primeira Cruz,13614,7184,6430,628,598,723,878,630,554,946,866,589,394,361,600,615,655,683,540,454,913,729,508,377,321,1234,1216,1382,1565,1178,1008,1862,1597,1105,772,685
2109452,Raposa,30835,15048,15787,1301,1299,1341,1321,1395,1142,2427,2147,1350,751,521,1232,1246,1368,1360,1431,1310,2723,2339,1423,784,524,2541,2548,2719,2686,2831,2462,5155,4488,2776,1547,1060
2109502,Riachão,22145,11407,10738,823,872,1023,1038,958,814,1617,1485,1116,830,795,896,824,954,977,833,709,1543,1377,1056,807,730,1726,1703,1978,2023,1795,1529,3163,2862,2173,1645,1536
2109551,Ribamar Fiquene,7420,3787,3633,284,305,386,353,262,218,533,504,394,290,253,286,309,319,312,241,260,542,520,379,257,203,571,615,705,665,503,480,1075,1024,773,551,458
2109601,Rosário,38335,18640,19695,1401,1566,1761,1749,1480,1336,3088,2329,1716,1164,919,1428,1446,1684,1770,1518,1550,3270,2549,1872,1336,1129,2856,3034,3463,3535,3020,2909,6368,4904,3608,2512,2065
2109700,Sambaíba,5568,2898,2670,221,229,271,247,233,219,404,328,326,227,165,199,215,192,245,224,184,361,311,283,226,203,429,450,468,495,461,406,767,643,611,453,370
2109759,Santa Filomena do Maranhão,6676,3483,3193,252,286,298,339,299,281,514,455,296,213,188,277,263,255,313,275,224,459,407,295,195,154,534,565,566,662,586,516,976,869,599,421,355
2109809,Santa Helena,41516,20297,21219,1501,1773,1962,1992,1903,1448,3116,2390,1606,1241,1112,1490,1939,1898,1976,1951,1625,3394,2497,1697,1328,1173,3028,3745,3893,3999,3895,3126,6530,4911,3333,2617,2327
2109908,Santa Inês,84848,40722,44126,3228,3392,3456,3918,3666,3016,6135,5543,3672,2497,2113,3098,3210,3584,3837,3722,3407,6946,6144,4250,3087,2748,6339,6615,7048,7765,7399,6447,13093,11696,7941,5602,4879
2110005,Santa Luzia,57621,28952,28669,2488,2624,3055,3086,2392,1926,3872,3462,2362,1898,1677,2339,2494,2816,2798,2315,1927,4266,3569,2498,1842,1653,4830,5139,5885,5895,4729,3884,8154,7040,4870,3780,3366
2110039,Santa Luzia do Paruá,24302,12129,12173,951,1071,1054,1135,978,943,1954,1541,1058,732,699,895,983,984,1099,1067,1069,1991,1548,1060,765,694,1848,2054,2039,2240,2045,2020,3945,3089,2118,1501,1401
2110104,Santa Quitéria do Maranhão,23957,11915,12042,999,1016,1131,1228,1102,862,1629,1445,1020,756,661,913,968,1108,1183,1060,900,1736,1463,1091,794,756,1916,1991,2247,2423,2174,1772,3369,2921,2120,1565,1437
2110203,Santa Rita,36985,18463,18522,1475,1693,1687,1687,1520,1513,3028,2306,1429,976,865,1403,1584,1674,1504,1568,1533,3126,2298,1573,1041,913,2924,3320,3397,3232,3123,3092,6195,4655,3043,2056,1818
2110237,Santana do Maranhão,10547,5296,5251,422,447,553,514,404,318,762,670,476,371,349,424,446,511,486,411,392,799,641,439,340,352,846,894,1068,1001,815,716,1561,1311,915,713,703
2110278,Santo Amaro do Maranhão,13949,7130,6819,642,654,704,714,701,549,999,862,580,373,341,649,611,704,718,650,483,1026,784,521,354,301,1291,1266,1410,1433,1351,1037,2025,1646,1102,735,653
2110302,Santo Antônio dos Lopes,14304,7120,7184,526,555,618,632,609,572,1048,952,673,462,451,478,577,604,562,560,581,1112,932,755,536,471,1010,1133,1224,1199,1171,1156,2163,1884,1431,1000,925
2110401,São Benedito do Rio Preto,18343,9317,9026,802,870,1063,1033,860,709,1253,1025,702,476,465,776,826,929,966,811,672,1291,989,642,543,508,1592,1702,2003,2005,1678,1393,2548,2017,1358,1036,987
2110500,São Bento,46366,22305,24061,1686,2261,1731,1914,1732,1631,3357,3158,2130,1424,1140,1893,2376,1831,1872,1839,1781,3716,3287,2240,1582,1463,3602,4656,3585,3812,3605,3430,7085,6463,4391,3031,2634
2110609,São Bernardo,26943,13449,13494,991,1152,1216,1309,1145,930,2033,1727,1263,826,805,971,1041,1147,1357,1068,1014,2153,1693,1218,860,918,1971,2203,2376,2670,2220,1956,4191,3422,2491,1697,1737
2110658,São Domingos do Azeitão,7984,4032,3952,302,343,362,380,357,357,562,511,373,241,207,360,352,364,360,321,299,565,446,348,246,236,669,700,735,749,692,669,1131,961,725,492,448
2110708,São Domingos do Maranhão,34034,16992,17042,1344,1467,1540,1554,1451,1168,2433,2305,1610,1072,1035,1343,1361,1447,1544,1290,1220,2540,2307,1701,1135,1139,2688,2828,2990,3098,2743,2391,4973,4612,3317,2214,2179
2110807,São Félix de Balsas,4402,2265,2137,143,145,175,183,185,156,324,302,278,192,163,155,154,192,169,123,147,289,257,243,198,169,303,303,371,356,315,305,616,560,523,390,338
2110856,São Francisco do Brejão,9043,4539,4504,340,383,404,446,360,310,665,621,423,307,267,387,357,408,393,371,320,666,616,418,296,257,727,740,814,839,733,631,1335,1240,844,605,527
2110906,São Francisco do Maranhão,12064,6115,5949,476,478,469,531,499,473,823,776,652,456,453,454,440,451,490,472,394,836,758,628,494,491,932,920,923,1027,971,870,1663,1540,1284,957,954
2111003,São João Batista,18533,9252,9281,620,606,780,863,713,612,1384,1286,900,665,610,598,682,734,774,676,610,1488,1248,938,603,675,1256,1319,1547,1665,1420,1259,2889,2557,1872,1312,1317
2111029,São João do Carú,12245,6235,6010,558,535,686,757,545,409,820,729,499,386,291,559,563,660,667,532,414,822,722,479,319,242,1117,1099,1350,1426,1081,828,1645,1458,982,706,543
2111052,São João do Paraíso,9901,5132,4769,376,370,427,463,385,360,721,722,560,346,361,352,378,413,397,318,347,734,644,489,312,324,735,750,846,873,719,718,1455,1370,1054,674,695
2111078,São João do Soter,16873,8387,8486,642,719,860,931,738,448,1044,1007,733,597,542,702,768,835,863,656,513,1095,1010,766,628,539,1357,1491,1714,1797,1403,989,2155,2042,1513,1242,1090
2111102,São João dos Patos,24967,12057,12910,882,952,1014,1051,953,880,1735,1559,1230,951,817,823,910,996,985,977,940,1890,1773,1359,1114,1100,1714,1867,2017,2047,1936,1830,3625,3334,2591,2075,1922
2111201,São José de Ribamar,244573,116124,128449,9076,9633,9281,9517,9927,10030,21474,16681,11016,5905,3223,8757,9169,9069,9628,10933,11655,24956,19356,12931,7032,4704,17869,18830,18377,19182,20891,21703,46436,36043,23966,13023,8170
2111250,São José dos Basílios,6957,3536,3421,273,291,330,341,268,245,479,438,374,243,232,280,255,270,303,248,212,498,449,375,246,265,559,547,600,648,518,462,977,887,753,492,502
2111300,São Luís,1033530,479546,553984,31971,34808,35424,37398,42923,40660,82305,69452,50099,32825,21188,31477,33377,34625,38751,46645,45883,95620,84125,65307,43762,33963,63523,68261,70114,76209,89602,86594,177940,153587,115432,76708,55447
2111409,São Luís Gonzaga do Maranhão,17762,8807,8955,583,710,763,938,714,548,1215,1097,928,595,544,616,623,809,817,668,624,1298,1206,859,680,570,1225,1350,1597,1773,1404,1189,2529,2323,1808,1290,1139
2111508,São Mateus do Maranhão,38800,19117,19683,1540,1637,1756,1815,1604,1305,2817,2254,1814,1375,1141,1395,1570,1720,1738,1560,1457,2953,2430,2051,1454,1291,2945,3218,3478,3566,3168,2776,5777,4686,3874,2843,2439
2111532,São Pedro da Água Branca,14338,7308,7030,627,715,637,704,568,554,1101,877,608,500,407,561,737,550,602,590,587,1076,846,639,479,352,1188,1453,1190,1309,1160,1143,2177,1723,1247,983,761
2111573,São Pedro dos Crentes,5783,3048,2735,248,224,229,259,294,276,531,401,256,173,157,220,232,208,268,268,227,466,343,227,149,122,468,456,437,527,562,503,997,744,484,324,281
2111607,São Raimundo das Mangabeiras,18672,9511,9161,761,798,810,924,770,770,1443,1086,957,634,539,630,736,753,864,768,703,1412,1080,909,635,640,1400,1540,1564,1788,1540,1477,2859,2169,1872,1271,1190
2111631,São Raimundo do Doca Bezerra,5645,2943,2702,238,221,247,322,241,231,434,373,252,192,148,221,216,225,268,224,200,373,346,266,179,134,466,441,476,593,474,438,816,725,523,378,294
2111672,São Roberto,4544,2325,2219,177,189,239,241,188,158,334,311,194,134,120,173,169,169,241,168,146,369,294,214,130,106,355,363,416,489,361,315,706,606,415,269,230
2111706,São Vicente Ferrer,19498,9781,9717,716,668,747,841,699,641,1471,1261,915,667,572,625,672,797,739,665,648,1544,1185,963,674,614,1421,1434,1615,1656,1434,1381,3063,2526,1948,1426,1274
2111722,Satubinha,8782,4527,4255,372,364,427,480,401,331,677,567,413,250,223,301,344,368,433,388,342,655,556,377,247,218,678,712,797,915,794,676,1332,1127,794,505,444
2111748,Senador Alexandre Costa,10177,5108,5069,471,449,476,533,436,363,692,560,464,337,310,483,421,424,511,396,405,681,588,464,337,342,955,874,903,1048,834,773,1375,1150,929,680,652
2111763,Senador La Rocque,14700,7256,7444,586,579,663,711,584,510,960,923,676,498,533,561,581,611,750,596,482,1041,954,727,560,545,1154,1169,1278,1464,1182,998,2007,1879,1407,1060,1086
2111789,Serrano do Maranhão,10161,5308,4853,453,401,500,502,395,301,676,712,432,357,261,390,388,402,454,353,287,660,575,426,330,258,884,835,956,988,796,627,1377,1313,912,717,568
2111805,Sítio Novo,17065,8936,8129,702,774,784,790,712,605,1295,1186,904,627,552,652,699,719,722,634,579,1212,1044,819,573,466,1355,1475,1504,1514,1347,1186,2507,2230,1723,1202,1022
2111904,Sucupira do Norte,10238,5258,4980,408,451,451,485,410,382,767,654,505,392,336,341,385,438,449,407,348,685,590,547,392,375,752,838,894,934,817,735,1455,1246,1052,788,713
2111953,Sucupira do Riachão,4972,2530,2442,163,194,206,260,211,190,329,287,285,209,180,177,188,203,210,163,143,319,299,293,192,227,349,384,416,472,381,339,650,586,580,403,410
2112001,Tasso Fragoso,8854,4554,4300,403,386,446,455,368,372,692,525,367,301,207,356,391,453,416,356,324,661,506,331,258,209,771,786,903,873,737,700,1353,1034,701,564,422
2112100,Timbiras,26484,13152,13332,1131,1209,1362,1321,1058,880,1882,1483,1157,952,705,1045,1187,1257,1311,1124,983,1905,1581,1220,935,771,2176,2396,2621,2634,2184,1865,3788,3064,2378,1889,1481
2112209,Timon,173878,83640,90238,7000,6925,7069,7169,7321,6400,13854,11521,7699,4805,3565,6795,6583,6769,6959,7474,6969,15154,12994,9072,6018,5164,13851,13554,13883,14164,14849,13409,29032,24543,16809,10882,8782
2112233,Trizidela do Vale,22484,10863,11621,839,881,956,922,854,752,1781,1507,985,714,641,838,817,877,1056,919,850,1936,1542,1135,852,768,1685,1700,1839,1987,1779,1614,3717,3051,2122,1570,1413
2112274,Tufilândia,5507,2798,2709,212,248,291,350,267,141,351,344,237,166,179,219,236,272,276,203,183,398,323,231,168,189,434,484,565,627,473,327,749,669,468,339,370
2112308,Tuntum,36226,18423,17803,1356,1491,1652,1716,1472,1300,2632,2419,1781,1309,1234,1277,1394,1476,1560,1340,1281,2706,2372,1747,1315,1235,2657,2903,3139,3285,2827,2595,5350,4797,3534,2630,2483
2112407,Turiaçu,37468,18490,18978,1565,1729,1833,1903,1643,1330,2669,2240,1524,1061,878,1585,1793,1870,1901,1793,1514,2865,2170,1447,1066,867,3157,3532,3711,3821,3448,2862,5542,4426,2982,2144,1758
2112456,Turilândia,31622,15562,16060,1340,1585,1567,1723,1561,1267,2428,1733,982,742,600,1460,1667,1690,1593,1588,1282,2602,1768,1045,742,587,2806,3252,3257,3318,3149,2551,5037,3510,2029,1489,1190
2112506,Tutóia,53344,26622,26722,2411,2363,2501,2707,2182,2059,3911,3144,2367,1530,1393,2339,2253,2453,2606,2226,2191,4298,3046,2376,1487,1351,4761,4627,4964,5319,4427,4260,8222,6199,4746,3041,2758
2112605,Urbano Santos,32812,16665,16147,1457,1593,1863,1897,1602,1421,2398,1756,1193,799,645,1499,1449,1701,1836,1532,1228,2491,1708,1169,791,712,2960,3043,3568,3736,3136,2658,4889,3466,2367,1601,1371
2112704,Vargem Grande,43220,21685,21535,1995,2099,2201,2228,1835,1519,3194,2470,1702,1181,1089,1805,2056,2037,2146,1858,1523,3333,2355,1770,1295,1164,3824,4172,4259,4384,3711,3083,6555,4837,3494,2511,2300
2112803,Viana,51391,25408,25983,2276,2333,2237,2326,2032,1716,3630,3200,2213,1510,1341,2145,2242,2116,2217,2038,1867,3893,3322,2368,1661,1552,4485,4640,4401,4631,4156,3664,7592,6603,4652,3267,3011
2112852,Vila Nova dos Martírios,10362,5266,5096,443,479,468,517,436,348,758,635,514,343,298,448,456,484,471,381,374,769,636,455,334,260,895,937,960,991,824,729,1527,1275,971,684,562
2112902,Vitória do Mearim,30781,15158,15623,1210,1254,1429,1463,1151,973,2333,1937,1356,1113,883,1180,1240,1413,1391,1220,1096,2457,1986,1489,1091,1008,2396,2500,2844,2863,2374,2081,4796,3931,2845,2212,1898
2113009,Vitorino Freire,30833,15288,15545,1140,1178,1289,1417,1368,1032,2186,2021,1539,1063,993,1109,1159,1203,1346,1237,1068,2186,2173,1733,1169,1114,2254,2347,2502,2770,2613,2117,4374,4199,3278,2238,2129
2114007,Zé Doca,40708,20033,20675,1627,1652,1828,1962,1606,1404,2963,2578,1755,1345,1207,1611,1626,1787,1922,1732,1411,3181,2619,1941,1451,1294,3245,3295,3616,3899,3354,2844,6156,5202,3701,2818,2525
